1983,0.28025131,-0.858922975,Scotia Sea,red,Gentoo penguin,Krill_biomass,1
1986,-0.228314281,-0.010830717,Scotia Sea,red,Gentoo penguin,Krill_biomass,1
1990,-0.306555142,0.712943741,Scotia Sea,red,Gentoo penguin,Krill_biomass,1
1991,-1.675770194,-1.110383977,Scotia Sea,red,Gentoo penguin,Krill_biomass,1
1992,0.74969647,3.061796701,Scotia Sea,red,Gentoo penguin,Krill_biomass,1
1993,1.414743782,1.689591905,Scotia Sea,red,Gentoo penguin,Krill_biomass,1
1994,-1.558408904,-1.059997597,Scotia Sea,red,Gentoo penguin,Krill_biomass,1
1996,1.375623352,-0.151630043,Scotia Sea,red,Gentoo penguin,Krill_biomass,1
1997,0.241130879,-0.351762863,Scotia Sea,red,Gentoo penguin,Krill_biomass,1
1998,-1.712543398,-0.46242454,Scotia Sea,red,Gentoo penguin,Krill_biomass,1
1999,0.63233518,-0.632419712,Scotia Sea,red,Gentoo penguin,Krill_biomass,1
2000,0.084649159,-0.792525969,Scotia Sea,red,Gentoo penguin,Krill_biomass,1
2001,1.336502922,0.137973921,Scotia Sea,red,Gentoo penguin,Krill_biomass,1
2002,0.35849217,0.393202129,Scotia Sea,red,Gentoo penguin,Krill_biomass,1
2003,0.084649159,0.303730986,Scotia Sea,red,Gentoo penguin,Krill_biomass,1
2004,-0.384796002,-0.888118822,Scotia Sea,red,Gentoo penguin,Krill_biomass,1
2004,-0.697759442,0.100772761,Scotia Sea,red,Gentoo penguin,Krill_biomass,1
2005,0.984419051,1.056230391,Scotia Sea,red,Gentoo penguin,Krill_biomass,1
2006,0.47585346,-0.162931661,Scotia Sea,red,Gentoo penguin,Krill_biomass,1
2007,0.241130879,-0.266058926,Scotia Sea,red,Gentoo penguin,Krill_biomass,1
2009,-1.695330409,-0.708234734,Scotia Sea,red,Gentoo penguin,Krill_biomass,1
1988,-0.016295044,0.067756265,Benguela current,dark blue,Cape Gannet,Sardine_anchovy_w_agulhas,2
1989,0.32027875,-0.787607346,Benguela current,dark blue,Cape Gannet,Sardine_anchovy_w_agulhas,2
1990,-0.223848884,-0.938630844,Benguela current,dark blue,Cape Gannet,Sardine_anchovy_w_agulhas,2
1991,0.46932572,-0.590168785,Benguela current,dark blue,Cape Gannet,Sardine_anchovy_w_agulhas,2
1992,-0.179064338,-0.094694036,Benguela current,dark blue,Cape Gannet,Sardine_anchovy_w_agulhas,2
1993,0.521713066,-0.538666518,Benguela current,dark blue,Cape Gannet,Sardine_anchovy_w_agulhas,2
1994,-0.02228584,-0.806992426,Benguela current,dark blue,Cape Gannet,Sardine_anchovy_w_agulhas,2
1995,0.983584999,-0.645544482,Benguela current,dark blue,Cape Gannet,Sardine_anchovy_w_agulhas,2
1996,-1.014500105,-1.309210067,Benguela current,dark blue,Cape Gannet,Sardine_anchovy_w_agulhas,2
1997,0.36609732,-0.023831977,Benguela current,dark blue,Cape Gannet,Sardine_anchovy_w_agulhas,2
